Tweet,Sentiment Score,Sentiment Magnitude
"Por cobardía, algunas autoridades que buscaron caminos ilegales y solo una doctrina llamada Seguridad Democrática puso orden a la anarquía que reinaba en el país. ", 0.10000000149011612 , 0.10000000149011612
En #MITOSYVERDADES con @MargaritaRepo,,
"3/4 Por eso, no es casualidad todo lo que ha ocurrido, porque eso estaba planteado desde el momento en que se constituyó el comité del paro y que coincide con lo sucedido en Chile y que también se veía para Perú. ", 0.0 , 0.0
¿A quién representan? , 0.10000000149011612 , 0.10000000149011612
Comunicado atroz,,
"En la discusión sobre la comida chatarra, los senadores del Centro Democrático en la Comisión Séptima apoyaron la iniciativa, pero se quieren hacer famosos diciendo lo contrario, como ocurre con todos los temas. ", 0.10000000149011612 , 0.10000000149011612
Avance filosófico jurídico de siglos se echó por la borda. , 0.20000000298023224 , 0.20000000298023224
Derecho y fuerza son consustanciales (se disocian y reinarán anarquía o tiranía). , 0.10000000149011612 , 0.10000000149011612
La fuerza se bifurca: coacción (para prevenir) o castigo (para sancionar). , 0.10000000149011612 , 0.10000000149011612
Ahora Colombia ni previene ni castiga la asonada. , 0.0 , 0.0
La reglamenta. , 0.30000001192092896 , 0.30000001192092896
"A propósito del proyecto que garantiza, promueve, desarrolla y consolida la economía campesina y la agricultura familiar. ", 0.5 , 0.5
En @NoticieroSenado,,
María Alejandra Lora Sabagh. , 0.0 , 0.0
"En estos tiempos de tormenta, una vida meritoria que se ha apagado. ", 0.0 , 0.0
Encarnó un liderazgo ejemplar y sus emprendimientos tuvieron su signo: la inteligencia y la solidaridad. , 0.699999988079071 , 0.699999988079071
Carmenza y yo elevamos una oración para que Dios dé fortaleza a los suyos. , 0.5 , 0.5
No hubo tal desautorización. , -0.20000000298023224 , 0.20000000298023224
Lo q oigo es que avala y legitima el adefesio. , 0.20000000298023224 , 0.20000000298023224
"Arguye que lo estamos ""malinterpretando"". ", 0.0 , 0.0
La catástrofe es que se abandone el uso legítimo de la fuerza y se legitime a los promotores de la asonada. , -0.4000000059604645 , 0.4000000059604645
